Nombre,Expediente,CIIU,Activo,Patrimonio,Ingresos Ventas,Utilidad,Efectivo,Gastos Publicidad,Liquidez,Ratio Marketing,Margen neto,Activo patrim,ASSEF,Fecha constitucion,Cant Empleados
claroecua,47845,J6120.01,1570530565,185353898,1430657536,181858266,22607564,56925798.5,0.0143948577,0.03624622135,0.1271151631,0.1180199241,0.910938996,1993-06-30,3083
movistarecu,47972,J6120.01,857616041.7,452381367.6,629254876.1,39804096,21773384,14911595,0.02538826578,0.01738726222,0.06325591984,0.5274870637,0.7337256366,1993-09-10,1305
marathonsportsec,87399,G4641.21   ,132318437,35425512,160240810,-8081581,9325242,8181320,0.0704757569,0.06183053689,-0.05043397497,0.2677292205,1.211024054,1999-03-22,1110
cntecuador,,,2257075750,1957547602,935000000,172380000,,,,,0.1843636364,0.8672937107,0.4142528226,2008-10-30,7110
chevroletecuador,8343,G4510.01    ,208025004,146242941,587518389.8,23071798.2,50413467.1,13466785.2,0.2423433055,0.06473637756,0.03926991665,0.703006553,2.824268134,1980-08-14,154
cocacolaec,166413,G4630.94,188751325,96188904.5,249303800.3,22035438.4,1336430,0,0.007080374138,,0.08838789611,0.5096065127,1.320805564,,1024
directvla,157101,J6110.02       ,49632062,16279947.9,166735812.8,5972374.83,3374442.43,8209668.29,0.06798916454,0.1654105826,0.03581938835,0.3280127249,3.359437551,2007-01-10,407
latamecuador,49972,H5110.01  ,42692804.3,5868056.31,8157775.42,5851474.11,853179.1,0,0.01998414285,,0.7172879626,0.1374483688,0.1910808052,1996-11-15,0
quicentroshopping,48584,L6810.01       ,10944873.4,4616545.76,57667859.6,4049409.1,2830188.18,3338216.19,0.2585857393,0.305002723,0.07021951444,0.4217998319,5.268938022,1994-09-05,170
sanmarinogye,48584,L6810.01       ,10944873.4,4616545.76,57667859.6,4049409.1,2830188.18,3338216.19,0.2585857393,0.305002723,0.07021951444,0.4217998319,5.268938022,1994-09-05,170
galletasamorecuador,4238,C1079.29  ,215879692.5,21197896.81,483028198.8,17425161.3,41589624.8,29992887.82,0.1926518624,0.1389333451,0.03607483237,0.09819310269,2.237487896,1964-06-22,1486
nescafe.ec,4238,C1079.29  ,215879692.5,21197896.81,483028198.8,17425161.3,41589624.8,29992887.82,0.1926518624,0.1389333451,0.03607483237,0.09819310269,2.237487896,1964-06-22,1486
almacenesdeprati,3135,G4711.01  ,261493842,182468719,247857993.4,25627013.5,6102973.11,5809550.9,0.02333887889,0.02221677901,0.103393936,0.6977935603,0.9478540355,1957-02-15,2887
tiaec,3502,G4711.01 ,259810392.7,50717056.77,633138561.5,34768903.4,24725944.37,9422668.34,0.09516918902,0.03626748046,0.05491515683,0.1952079601,2.436925463,1960-02-01,7460
bancoguayaquil,,,3908326477,422613123.8,419584690.5,26516304.83,145400207.1,15916765.53,0.0372026769,0.00407252711,0.0631965499,0.1081314794,0.1073566124,,
bancopacificoec,,,5513582569,590692071.7,515090316.8,40004555.87,221126364,7573490.55,0.04010574998,0.001373606082,0.07766512894,0.1071339849,0.09342207364,,
